Neighborhood,"It's dog friendly","It's walkable to restaurants","There are sidewalks","Streets are well-lit","It's walkable to grocery stores","People would walk alone at night","Kids play outside","There's holiday spirit","Neighbors are friendly","Parking is easy","They plan to stay for at least 5 years","It's quiet","There are community events","There's wildlife","Car is needed","Yards are well-kept","votes"
East Cambridge,0.91,0.87,0.86,0.85,0.80,0.75,0.62,0.52,0.43,0.42,0.41,0.40,0.38,0.33,0.31,0.29,105
Area 2/MIT,0.74,0.90,0.93,0.88,0.57,0.75,0.75,0.54,0.33,0.75,0.45,0.67,0.50,0.43,0.33,0.53,8
Wellington-Harrington,0.98,0.92,0.96,0.73,0.85,0.79,0.61,0.64,0.46,0.66,0.41,0.47,0.42,0.29,0.26,0.23,44
"The Port",0.94,0.93,0.97,0.82,0.93,0.84,0.65,0.54,0.50,0.64,0.45,0.39,0.41,0.39,0.23,0.48,63
Cambridgeport,0.91,0.94,0.96,0.76,0.88,0.80,0.72,0.50,0.47,0.63,0.43,0.51,0.50,0.41,0.36,0.48,99
Mid-Cambridge,0.90,0.95,0.96,0.72,0.87,0.80,0.49,0.55,0.52,0.51,0.60,0.46,0.32,0.56,0.25,0.31,61
Riverside,0.57,0.80,0.81,0.59,0.60,0.76,0.48,0.31,0.30,0.63,0.50,0.38,0.32,0.25,0.38,0.50,16
Baldwin,0.89,0.98,0.95,0.85,0.87,0.88,0.57,0.54,0.53,0.70,0.40,0.39,0.44,0.58,0.38,0.45,47
Neighborhood Nine,0.94,0.94,0.93,0.83,0.82,0.86,0.61,0.58,0.50,0.70,0.49,0.47,0.35,0.60,0.43,0.51,79
West Cambridge,0.93,0.93,0.99,0.82,0.85,0.89,0.72,0.74,0.66,0.75,0.62,0.61,0.55,0.69,0.41,0.68,65
North Cambridge,0.95,0.93,0.96,0.89,0.88,0.93,0.62,0.53,0.55,0.68,0.42,0.52,0.40,0.54,0.33,0.51,163
Cambridge Highlands,0.89,0.69,0.93,0.74,0.76,0.67,0.77,0.49,0.35,0.77,0.35,0.60,0.27,0.42,0.56,0.35,39
Strawberry Hill,0.90,0.72,0.97,0.77,0.92,0.78,0.64,0.45,0.53,0.85,0.56,0.64,0.38,0.19,0.43,0.48,16